Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
57,港区,D03,25,3,2023,0
260,港区,D03,90,3,2023,0
45,港区,D03,25,3,2023,0
24,港区,D03,20,5,2003,0
140,港区,D03,50,3,2023,0
120,港区,D03,60,11,2017,0
200,港区,D03,70,3,2023,0
100,港区,D03,40,3,2023,0
130,港区,D03,50,3,2023,0
86,港区,D03,60,6,1985,1
160,港区,D03,70,6,2005,1
110,港区,D03,65,8,2003,1
35,港区,D03,40,10,2006,0
80,港区,D03,60,2,1981,1
73,港区,D03,60,3,1977,0
61,港区,D03,40,5,2005,0
25,港区,D03,15,7,2004,0
90,港区,D03,50,1,1971,0
190,港区,D03,110,6,1980,0
180,港区,D03,75,7,2020,1
120,港区,D03,50,1,2022,0
100,港区,D03,75,3,1981,0
250,港区,D03,125,6,2004,0
110,港区,D03,60,7,2005,0
65,港区,D03,85,7,2005,1
160,港区,D03,80,7,2005,0
35,港区,D03,25,5,2003,1
83,港区,D03,40,3,2008,0
230,港区,D03,100,4,2006,0
38,港区,D03,20,5,2003,0
180,港区,D03,75,9,2002,1
70,港区,D03,50,11,1999,0
43,港区,D03,30,11,2003,0
23,港区,D03,20,4,2002,0
24,港区,D03,15,4,2002,0
260,港区,D03,80,4,2019,0
25,港区,D03,20,4,1998,0
26,港区,D03,15,2,2000,0
25,港区,D03,20,2,2001,0
100,港区,D03,65,5,1997,0
25,港区,D03,20,2,2000,0
14,港区,D03,20,8,1978,0
22,港区,D03,20,8,1978,1
21,港区,D03,15,8,1978,1
43,港区,D03,25,6,2014,0
150,港区,D03,65,6,2014,0
220,港区,D03,75,4,2009,0
300,港区,D03,80,7,2015,0
78,港区,D03,50,4,2005,0
61,港区,D03,35,4,1998,0
26,港区,D03,20,9,2002,0
27,港区,D03,20,10,2003,0
48,港区,D03,45,6,1978,0
32,港区,D03,30,1,1980,1
330,港区,D03,125,13,2001,0
49,港区,D03,30,6,1971,1
99,港区,D03,55,11,2002,1
150,港区,D03,75,10,2006,0
90,港区,D03,55,11,2002,0
150,港区,D03,95,11,1997,0
130,港区,D03,60,7,2012,0
77,港区,D03,55,5,2008,0
24,港区,D03,20,6,2005,0
26,港区,D03,25,9,1979,0
84,港区,D03,40,2,2018,0
20,港区,D03,20,2,1978,1
300,港区,D03,90,6,2002,0
640,港区,D03,150,6,2002,0
54,港区,D03,35,5,1982,0
40,港区,D03,30,5,1982,0
130,港区,D03,45,2,2011,0
110,港区,D03,45,4,2015,0
110,港区,D03,45,3,2011,0
170,港区,D03,65,5,2014,0
60,港区,D03,25,2,2016,0
110,新宿区,D04,55,5,2018,0
81,新宿区,D04,55,8,2012,0
24,新宿区,D04,20,3,1999,0
140,新宿区,D04,75,6,2003,1
170,新宿区,D04,100,3,2006,1
30,新宿区,D04,40,5,2015,0
85,新宿区,D04,55,6,2005,0
78,新宿区,D04,50,6,2015,0
88,新宿区,D04,65,3,2010,0
55,新宿区,D04,55,6,1971,1
17,新宿区,D04,25,5,1985,0
30,新宿区,D04,20,4,2006,1
26,新宿区,D04,20,4,2006,0
12,新宿区,D04,30,4,1981,1
27,新宿区,D04,35,1,1978,0
49,新宿区,D04,55,1,1978,0
9.5,新宿区,D04,10,1,1984,0
33,新宿区,D04,25,6,2013,1
24,新宿区,D04,20,10,2004,1
31,新宿区,D04,25,4,2008,0
27,新宿区,D04,35,8,1978,0
35,新宿区,D04,25,4,2008,0
28,新宿区,D04,20,3,2007,0
37,新宿区,D04,45,10,1986,0
35,新宿区,D04,25,3,2013,0
78,新宿区,D04,55,6,2015,0
100,新宿区,D04,60,6,2012,0
23,新宿区,D04,20,5,2002,0
34,新宿区,D04,25,5,2019,0
15,新宿区,D04,15,4,1991,0
23,新宿区,D04,20,1,2006,0
30,新宿区,D04,50,4,1974,0
42,新宿区,D04,35,6,2004,1
120,新宿区,D04,85,6,2001,1
64,新宿区,D04,50,10,2019,0
25,新宿区,D04,30,3,1978,0
62,新宿区,D04,35,4,2004,0
58,新宿区,D04,55,10,1980,1
53,新宿区,D04,55,10,1980,1
42,新宿区,D04,55,10,1980,0
29,新宿区,D04,25,6,2002,1
16,新宿区,D04,20,6,2006,0
37,新宿区,D04,45,7,1969,1
30,新宿区,D04,30,5,1983,0
37,新宿区,D04,25,7,2016,0
14,新宿区,D04,20,5,1982,0
20,新宿区,D04,20,3,1982,1
12,新宿区,D04,30,4,1964,1
42,新宿区,D04,55,5,1970,1
150,新宿区,D04,145,1,1988,0
44,新宿区,D04,25,7,2020,0
30,新宿区,D04,30,6,2002,0
230,新宿区,D04,115,7,2014,0
64,新宿区,D04,45,6,2003,1
28,新宿区,D04,25,9,2011,0
49,新宿区,D04,35,4,2022,0
51,新宿区,D04,35,5,2022,0
48,新宿区,D04,35,5,2022,1
87,新宿区,D04,70,9,2001,0
26,新宿区,D04,20,11,2010,0
40,新宿区,D04,35,6,2005,0
110,新宿区,D04,70,6,2007,0
14,新宿区,D04,20,5,2004,0
57,新宿区,D04,55,7,1995,0
60,新宿区,D04,40,6,2012,0
65,新宿区,D04,50,7,2009,1
14,新宿区,D04,15,5,1984,0
40,新宿区,D04,30,7,2015,0
96,新宿区,D04,60,9,2002,1
140,新宿区,D04,65,7,2015,0
17,新宿区,D04,15,5,1984,0
15,新宿区,D04,15,5,1984,0
39,新宿区,D04,25,4,2016,0
33,新宿区,D04,60,4,1968,0
96,新宿区,D04,65,7,2016,0
23,新宿区,D04,20,2,2008,0
31,新宿区,D04,45,4,1985,0
26,新宿区,D04,20,5,2009,0
24,新宿区,D04,20,2,2006,0
27,新宿区,D04,25,8,2017,0
76,新宿区,D04,70,4,2012,0
45,新宿区,D04,35,5,2002,0
19,新宿区,D04,20,6,2005,0
18,新宿区,D04,20,6,2005,0
54,新宿区,D04,70,10,1997,0
33,新宿区,D04,35,9,1987,1
18,新宿区,D04,20,6,2000,0
21,新宿区,D04,20,6,2004,0
19,新宿区,D04,20,5,1999,1
46,新宿区,D04,40,6,2012,0
42,新宿区,D04,60,8,1996,0
23,新宿区,D04,20,7,2003,0
43,新宿区,D04,40,5,1992,1
76,新宿区,D04,50,6,2012,0
13,新宿区,D04,20,4,1978,0
16,新宿区,D04,15,12,1977,0
16,新宿区,D04,15,12,1997,0
79,新宿区,D04,45,4,2006,0
11,新宿区,D04,10,5,1981,0
24,新宿区,D04,35,5,1981,0
44,新宿区,D04,45,2,1983,0
23,新宿区,D04,20,5,2001,0
12,新宿区,D04,25,3,1983,0
